"","X","Y","silicate_umol/L","temperature_&deg;C","depth_m","region","collection_date","environment_biome","environment_feature","environmental_package","chlorophyll_mg/m3","dissolved_oxygen_mg/L","nitrate_umol/L","phosphate_umol/L","salinity_ppt","NCBI_sample_classification","instrument_model","ENA_checklist"
"1","-67.247","42.506","3.2","18.2","0.7","North Atlantic Ocean:Gulf of Maine/Bay of Fundy Marine Ecoregion:South of Canadian Maritime Boundary","2003-08-21T10:32:00+00:00","ocean biome","open ocean","water","1.4","13.9","0.05","0.25","29.2","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"2","-66.22666667","42.85533333","6.1","11.7","0.43","North Atlantic Ocean:Gulf of Maine/Bay of Fundy Marine Ecoregion:Browns Bank, Canada","2003-08-21T15:50:00+00:00","ocean biome","open ocean","water","1.4","16.2","0.13","0.48","29.9","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"3","-63.65533333","44.14133333","1.2","17.3","1","North Atlantic Ocean:Scotian Shelf Marine Ecoregion:Outside Halifax, Canada","2003-08-22T08:25:00+00:00","ocean biome","open ocean","water","0.4","13.6","0.05","0.33","28.3","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"4","-63.64133333","44.69733333","1.8","16.9","1","North Atlantic Ocean:Scotian Shelf Marine Ecoregion:Bedford Basin, Canada","2003-08-22T19:21:00+00:00","ocean biome","embayment","water","6","5.8","1.1","2.8","31.1","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"5","-64.96","45.12333333","7.6","16.9","1","North Atlantic Ocean:Scotian Shelf Marine Ecoregion:Bay of Fundy, Canada","2003-08-23T13:47:00+00:00","ocean biome","estuary","water","2.8","5.8","5.3","0.71","31.1","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"6","-66.861","43.64766667","5.9","12","1","North Atlantic Ocean:Gulf of Maine/Bay of Fundy Marine Ecoregion:Coastal Maine, USA","2003-08-25T12:25:00+00:00","ocean biome","coastal ocean","water","1.4","6.4","0.14","0.37","31.2","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"7","-71.351111","41.42","2.2","9.4","1","North Atlantic Ocean:Virginian Marine Ecoregion:Newport Harbor, RI, USA","2003-11-16T21:45:00+00:00","ocean biome","coastal ocean","water","2.2","3.4","4.9","0.39","26.5","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"8","-71.60433333","41.099","2.2","11","1","North Atlantic Ocean:Virginian Marine Ecoregion:Block Island, NY, USA","2003-11-17T15:30:00+00:00","ocean biome","coastal ocean","water","4","3.4","4.9","0.39","35.5","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"9","-74.68666667","38.94666667","0.59","12","1","North Atlantic Ocean:Virginian Marine Ecoregion:Cape May, NJ, USA","2003-11-18T09:30:00+00:00","ocean biome","coastal ocean","water","2","3.5","2","0.26","35.4","408172","AB 3730xL Genetic Analyzer","ENA default sample checklist (ERC000011)"
"10","-74.68666667","38.94666667","0.59","12","1","North Atlantic Ocean:Virginian Marine Ecoregion:Cape May, NJ, USA","2003-11-18T09:30:00+00:00","ocean biome","coastal ocean","water","2","3.5","2","0.26","35.4","408172","454 GS 20","ENA default sample checklist (ERC000011)"
