"","temperature","X","environment (biome)","environment (feature)","environment (material)","environmental package","depth","salinity","Y","instrument model","collection date","project name","geographic location (depth)","sequencing method","NCBI sample classification","ENA checklist","event date/time","marine region","protocol label","sampling campaign","sampling platform","event label","last update date","sample collection device","sampling station","size fraction lower threshold","size fraction upper threshold","nitrate sensor","oxygen sensor","accession","sample-name","sample-desc","biome"
"ERS1972428","-0.1424","-148.8366","marine biome","marine water body","seawater","water","65.0","31.2036","77.0066","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972428","KD104_170322","Station 53 seawater, depth 65.4m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972423","-1.48","-147.8611","marine biome","marine water body","seawater","water","1.0","27.7279","78.1655","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972423","KD097_170407","Station 51 seawater, depth 1m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972374","0.7776","-173.095","marine biome","marine water body","seawater","water","1.0","999.0","76.5357","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972374","KD001_170322","Station 14 seawater, depth 1m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972378",NA,"-176.76143","marine biome","marine water body","sea ice","water","0.1","999.0","88.4072","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972378","KD009_170322","Station 31 sea ice, depth 0.1m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972411",NA,"-149.7905","marine biome","marine water body","seawater","water","1.0","999.0","82.50385","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972411","KD084_170407","Station 46 seawater, depth 1m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972447",NA,"-162.5408","marine biome","marine water body","seawater","water","1.0","999.0","72.02705","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972447","KD134_170407","Station 66 seawater, depth 1m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972356","-0.2619","-178.92683","marine biome","marine water body","seawater","water","3902.0","34.9598","87.5856","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972356","30-18_170427","Station 30 seawater, depth 3902m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972400",NA,"-149.97226","marine biome","marine water body","sea ice","water","0.7","999.0","85.16033","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972400","KD056_170322","Station 43 sea ice, depth 0.7m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972329","-1.3292","-174.8173","marine biome","marine water body","seawater","water","147.0","34.1901","83.75495","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972329","26-5_170506","Station 26 seawater, depth 147m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972413",NA,"-149.7905","marine biome","marine water body","seawater","water","5.0","999.0","82.50385","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972413","KD085_170407","Station 46 seawater, depth 5m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972426","-0.5762","-148.8366","marine biome","marine water body","seawater","water","20.0","28.1046","77.0066","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972426","KD103_170322","Station 53 seawater, depth 20.3m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972387",NA,"-89.2525","marine biome","marine water body","sea ice","water","0.7","999.0","89.99033","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972387","KD016_170407","Station 33 sea ice, depth 0.7m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972325","-1.2877","-174.8173","marine biome","marine water body","seawater","water","73.0","32.2278","83.75495","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972325","26-3_170506","Station 26 seawater, depth 73m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972388",NA,"-89.2525","marine biome","marine water body","sea ice","water","0.9","999.0","89.99033","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972388","KD020_170322","Station 33 sea ice, depth 0.9m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972424","0.5837","-147.8711","marine biome","marine water body","seawater","water","1.0","35.2157","77.4476","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972424","KD101_170322","Station 52 seawater, depth 1m","root:Environmental:Aquatic:Marine:Oceanic"
