"","accession","sample-name","sample-desc","biome","X","Y","temperature_&deg;C","collection_date","environment_biome","environment_feature","environment_material","instrument_model","pH","last_update_date","location"
"1","SRS2635453","Sample_Mallard_Creek_HOSP_3","Mallard Creek - T018 (Hospital)","root:Engineered:Bioremediation:Terephthalate:Wastewater","-80.862595","35.137997","27.0","2016-04-28","urban","artificial channel","waste water","Illumina HiSeq 2500","3.18","2017-10-28","USA: North Carolina"
"2","SRS2635454","Sample_Mallard_Creek_PCE_3","Mallard Creek Plant - Primary clarifier eff.","root:Engineered:Bioremediation:Terephthalate:Wastewater","-80.69757","35.33544","24.0","2016-04-28","urban","wastewater treatment plant","waste water","Illumina HiSeq 2500","2.08","2017-10-28","USA: North Carolina"
"3","SRS2635455","Sample_Sugar_Creek_UV_3","Sugar Creek Plant - UV pre-final eff.","root:Engineered:Bioremediation:Terephthalate:Wastewater","-80.85299","35.152912","17.0","2016-04-26","urban","wastewater treatment plant","waste water","Illumina HiSeq 2500","4.37","2017-10-28","USA: North Carolina"
"4","SRS2635456","Sample_Sugar_Creek_ATE_3","Sugar Creek Plant - Aeration tank eff.","root:Engineered:Bioremediation:Terephthalate:Wastewater","-80.85299","35.152912","18.0","2016-04-26","urban","wastewater treatment plant","waste water","Illumina HiSeq 2500","3.4","2017-10-28","USA: North Carolina"
"5","SRS2635457","Sample_Sugar_Creek_PCE_3","Sugar Creek Plant - Primary clarifier eff.","root:Engineered:Bioremediation:Terephthalate:Wastewater","-80.85299","35.152912","18.0","2016-04-26","urban","wastewater treatment plant","waste water","Illumina HiSeq 2500","2.35","2017-10-28","USA: North Carolina"
"6","SRS2635458","Sample_Sugar_Creek_INF_3","Sugar Creek Plant - Influent","root:Engineered:Bioremediation:Terephthalate:Wastewater","-80.85299","35.152912","20.0","2016-04-26","urban","wastewater treatment plant","waste water","Illumina HiSeq 2500","3.4","2017-10-28","USA: North Carolina"
"7","SRS2635459","Sample_Sugar_Creek_DS_A_3","Sugar Creek - Downstream A site","root:Engineered:Bioremediation:Terephthalate:Wastewater","-80.85789","35.147736","22.0","2016-04-26","small river","stream","water","Illumina HiSeq 2500","4.56","2017-10-28","USA: North Carolina"
"8","SRS2635460","Sample_Mallard_Creek_INF_3","Mallard Creek Plant - Influent","root:Engineered:Bioremediation:Terephthalate:Wastewater","-80.69757","35.33544","24.0","2016-04-28","urban","wastewater treatment plant","waste water","Illumina HiSeq 2500","2.33","2017-10-28","USA: North Carolina"
"9","SRS2635461","Sample_Sugar_Creek_DS_B_3","Sugar Creek - Downstream B site","root:Engineered:Bioremediation:Terephthalate:Wastewater","-80.862595","35.137997","21.0","2016-04-26","small river","stream","water","Illumina HiSeq 2500","4.42","2017-10-28","USA: North Carolina"
"10","SRS2635462","Sample_Sugar_Creek_UP_B_3","Sugar Creek - Upstream B site","root:Engineered:Bioremediation:Terephthalate:Wastewater","-80.84958","35.157238","22.0","2016-04-26","small river","stream","water","Illumina HiSeq 2500","6.87","2017-10-28","USA: North Carolina"
